textid	target	model	tokenizer	predicted	prob	condition
ex0	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.7381859421730042	lexical_overlap
ex1	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.7550675272941589	lexical_overlap
ex2	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6505632996559143	lexical_overlap
ex3	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.867631733417511	lexical_overlap
ex4	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.7831776738166809	lexical_overlap
ex5	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.5004109740257263	lexical_overlap
ex6	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.5395695567131042	lexical_overlap
ex7	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.4845173954963684	lexical_overlap
ex8	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.8276614546775818	lexical_overlap
ex9	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.5957443714141846	lexical_overlap
ex10	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.897345781326294	lexical_overlap
ex11	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.7909632921218872	lexical_overlap
ex12	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.679955244064331	lexical_overlap
ex13	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.8168658018112183	lexical_overlap
ex14	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.7720971703529358	lexical_overlap
ex15	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.8537487983703613	lexical_overlap
ex16	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.8301466107368469	lexical_overlap
ex17	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6489045023918152	lexical_overlap
ex18	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6716432571411133	lexical_overlap
ex19	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.7913441061973572	lexical_overlap
ex20	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.5161062479019165	lexical_overlap
ex21	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6849098801612854	lexical_overlap
ex22	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.4947193562984466	lexical_overlap
ex23	non-entailment	mnli_model0	mnli_model0	LABEL_2	0.6800381541252136	lexical_overlap
ex24	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.7007992267608643	lexical_overlap
ex25	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6440811157226562	lexical_overlap
ex26	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.4821687340736389	lexical_overlap
ex27	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.802385687828064	lexical_overlap
ex28	non-entailment	mnli_model0	mnli_model0	LABEL_0	0.6631851196289062	lexical_overlap
