textid	target	model	tokenizer	predicted	prob	condition
ex0	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7974853515625	lexical_overlap
ex1	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.4539511203765869	lexical_overlap
ex2	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7573615312576294	lexical_overlap
ex3	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.8103068470954895	lexical_overlap
ex4	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.4499215483665466	lexical_overlap
ex5	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7084946632385254	lexical_overlap
ex6	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.4979501664638519	lexical_overlap
ex7	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.5700814723968506	lexical_overlap
ex8	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.8180456161499023	lexical_overlap
ex9	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6019890308380127	lexical_overlap
ex10	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.5209665298461914	lexical_overlap
ex11	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.4630963206291199	lexical_overlap
ex12	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.8650491237640381	lexical_overlap
ex13	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7207009792327881	lexical_overlap
ex14	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7232816219329834	lexical_overlap
ex15	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.8047183752059937	lexical_overlap
ex16	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6129637360572815	lexical_overlap
ex17	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.5277611613273621	lexical_overlap
ex18	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.736077070236206	lexical_overlap
ex19	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7194666266441345	lexical_overlap
ex20	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.4640282988548279	lexical_overlap
ex21	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6645946502685547	lexical_overlap
ex22	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.5417269468307495	lexical_overlap
ex23	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.5060471296310425	lexical_overlap
ex24	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7163468599319458	lexical_overlap
ex25	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6699721217155457	lexical_overlap
ex26	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6413698196411133	lexical_overlap
ex27	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7339798808097839	lexical_overlap
ex28	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6610375046730042	lexical_overlap
ex29	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7317774295806885	lexical_overlap
ex30	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6554824113845825	lexical_overlap
ex31	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6625609397888184	lexical_overlap
ex32	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.6331037282943726	lexical_overlap
ex33	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.8294419050216675	lexical_overlap
ex34	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.5419809818267822	lexical_overlap
ex35	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.560342013835907	lexical_overlap
ex36	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.4900364279747009	lexical_overlap
ex37	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.5746553540229797	lexical_overlap
ex38	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.7593039274215698	lexical_overlap
ex39	non-entailment	mnli_model2	mnli_model2	LABEL_2	0.5040493607521057	lexical_overlap
ex40	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6928839683532715	lexical_overlap
ex41	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.724284291267395	lexical_overlap
ex42	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.4605213403701782	lexical_overlap
ex43	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.6014392375946045	lexical_overlap
ex44	non-entailment	mnli_model2	mnli_model2	LABEL_0	0.496403694152832	lexical_overlap
