textid	target	model	tokenizer	predicted	prob	condition
ex0	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.6305797100067139	lexical_overlap
ex1	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.6452083587646484	lexical_overlap
ex2	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_2	0.680811882019043	lexical_overlap
ex3	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.5188512802124023	lexical_overlap
ex4	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.4807446300983429	lexical_overlap
ex5	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.5348219871520996	lexical_overlap
ex6	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.4668193757534027	lexical_overlap
ex7	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.5516956448554993	lexical_overlap
ex8	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_1	0.499918520450592	lexical_overlap
ex9	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.4855563938617706	lexical_overlap
ex10	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.5877074599266052	lexical_overlap
ex11	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_2	0.7077500820159912	lexical_overlap
ex12	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.6649016737937927	lexical_overlap
ex13	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.6403235793113708	lexical_overlap
ex14	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_1	0.4407289326190948	lexical_overlap
ex15	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.6556830406188965	lexical_overlap
ex16	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_2	0.6479910016059875	lexical_overlap
ex17	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_0	0.5472179651260376	lexical_overlap
ex18	non-entailment	mnli_models/mnli_model4	mnli_models/mnli_model4	LABEL_1	0.4848553240299225	lexical_overlap
