textid	target	model	tokenizer	predicted	prob	condition
ex0	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4821749627590179	lexical_overlap
ex1	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.538800835609436	lexical_overlap
ex2	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4634298980236053	lexical_overlap
ex3	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6153398156166077	lexical_overlap
ex4	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7785189151763916	lexical_overlap
ex5	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4475747048854828	lexical_overlap
ex6	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4616873860359192	lexical_overlap
ex7	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6844162940979004	lexical_overlap
ex8	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_1	0.5210689306259155	lexical_overlap
ex9	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.656407356262207	lexical_overlap
ex10	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8241113424301147	lexical_overlap
ex11	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5281147360801697	lexical_overlap
ex12	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.555534839630127	lexical_overlap
ex13	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6306170225143433	lexical_overlap
ex14	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7663337588310242	lexical_overlap
ex15	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7621399760246277	lexical_overlap
ex16	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.6518535017967224	lexical_overlap
ex17	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5631291270256042	lexical_overlap
ex18	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4320032596588135	lexical_overlap
ex19	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8130925297737122	lexical_overlap
ex20	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.6037846207618713	lexical_overlap
ex21	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.513498842716217	lexical_overlap
ex22	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5888680815696716	lexical_overlap
ex23	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.523019552230835	lexical_overlap
ex24	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4429743587970733	lexical_overlap
ex25	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5477181077003479	lexical_overlap
ex26	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5194237232208252	lexical_overlap
ex27	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6406785845756531	lexical_overlap
ex28	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.560205340385437	lexical_overlap
ex29	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.693232536315918	lexical_overlap
ex30	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4851270318031311	lexical_overlap
ex31	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4873692393302917	lexical_overlap
ex32	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.3859758377075195	lexical_overlap
ex33	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.760403573513031	lexical_overlap
ex34	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5232241153717041	lexical_overlap
ex35	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5955300331115723	lexical_overlap
ex36	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7298527359962463	lexical_overlap
ex37	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8679315447807312	lexical_overlap
ex38	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.764779806137085	lexical_overlap
ex39	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5958210229873657	lexical_overlap
ex40	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4971109330654144	lexical_overlap
ex41	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6654577255249023	lexical_overlap
ex42	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8350540995597839	lexical_overlap
ex43	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4047733545303345	lexical_overlap
ex44	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4825842082500458	lexical_overlap
ex45	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_1	0.5760632753372192	lexical_overlap
ex46	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7013963460922241	lexical_overlap
ex47	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4683749079704284	lexical_overlap
ex48	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4420721232891083	lexical_overlap
ex49	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7124016284942627	lexical_overlap
ex50	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4800135791301727	lexical_overlap
ex51	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_1	0.4715046286582947	lexical_overlap
ex52	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4971948564052582	lexical_overlap
ex53	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4927470088005066	lexical_overlap
ex54	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5572649240493774	lexical_overlap
ex55	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5221537947654724	lexical_overlap
ex56	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5190800428390503	lexical_overlap
ex57	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.8950284123420715	lexical_overlap
ex58	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7089812159538269	lexical_overlap
ex59	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6605297923088074	lexical_overlap
ex60	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5837451219558716	lexical_overlap
ex61	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5292729139328003	lexical_overlap
ex62	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.905832052230835	lexical_overlap
ex63	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8844432234764099	lexical_overlap
ex64	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7091996073722839	lexical_overlap
ex65	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.4560209214687347	lexical_overlap
ex66	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5998660922050476	lexical_overlap
ex67	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.4588195085525512	lexical_overlap
ex68	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.7126988768577576	lexical_overlap
ex69	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.8006659746170044	lexical_overlap
ex70	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.7213833928108215	lexical_overlap
ex71	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6196017265319824	lexical_overlap
ex72	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_2	0.5716275572776794	lexical_overlap
ex73	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.8220781683921814	lexical_overlap
ex74	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.5989131331443787	lexical_overlap
ex75	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6410720348358154	lexical_overlap
ex76	non-entailment	mnli_models/mnli_model3	mnli_models/mnli_model3	LABEL_0	0.6324262619018555	lexical_overlap
